"module name","license","repository"
"@ensdomains/address-encoder@0.1.9","BSD*",""
"@ensdomains/resolver@0.2.4","BSD*",""
"cli-table@0.3.11","MIT*","https://github.com/Automattic/cli-table"
"oboe@2.1.5","BSD*","https://github.com/jimhigson/oboe.js"
"precond@0.2.3","MIT*","https://github.com/MathieuTurcotte/node-precond"
"readable-stream@0.0.4","BSD*","https://github.com/isaacs/readable-stream"
"ripemd160-min@0.0.6","MIT*","https://github.com/zone117x/ripemd160-minimal.js"
"semaphore@1.1.0","MIT*","https://github.com/abrkn/semaphore.js"
"testrpc@0.0.1","UNKNOWN","https://github.com/trufflesuite/ganache-cli"
